"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_activity_chooser_view.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_activity_chooser_view.xml","ImageView","8",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_activity_chooser_view_list_item.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_alert_dialog_material.xml","ImageView","6",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_list_menu_item_icon.xml","ImageView","3",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_search_dropdown_item_icons_2line.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_search_dropdown_item_icons_2line.xml","ImageView","5",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_search_dropdown_item_icons_2line.xml","ImageView","6",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_search_view.xml","ImageView","7",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\abc_select_dialog_material.xml","ListView","3",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\action_bar_separator.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_ask_amazon.xml","ImageView","4",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","Button","6",,"android:layout_width:38.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","Button","6",,"android:layout_height:38.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","Small Text Size","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","Button","7",,"android:textSize:10.0sp"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","Button","8",,"android:layout_width:38.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","Button","8",,"android:layout_height:38.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","ImageView","10",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","ImageView","11",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","ImageView","12",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","ImageView","14",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","ImageView","15",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez.xml","ImageView","23",,"android:contentDescription:null"
"Amazon Shopping_v12.6.0.100_apkpure.com","Untouchable Target","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_fez_tutorial.xml","Button","12",,"android:layout_height:45.0dip"
"Amazon Shopping_v12.6.0.100_apkpure.com","No Content Description","Amazon Shopping_v12.6.0.100_apkpure.com\res\layout\activity_link_tree_debug_settings.xml","ImageView","5",,"android:contentDescription:null"
