"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","11",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","19",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","42",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","81",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","91",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","102",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_small_notification.xml","ImageView","112",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/call_notification.xml","ImageView","18",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/call_notification.xml","ImageView","28",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_big_notification.xml","ImageView","15",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_big_notification.xml","ImageView","44",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_big_notification.xml","ImageView","100",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_big_notification.xml","ImageView","110",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_big_notification.xml","ImageView","121",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/player_big_notification.xml","ImageView","131",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/call_notification_rtl.xml","ImageView","18",,"android:contentDescription:null"
"src","No Content Description","src/main/res/layout/call_notification_rtl.xml","ImageView","28",,"android:contentDescription:null"
"","","","","","",""
