"Project","Issue Type","File Name","Element","Line No","Activity","Comment"
"app","No Content Description","app/src/main/res/layout/activity_simple_list_view.xml","ListView","12",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_contact_list.xml","ListView","12",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_implicit_intents.xml","EditText","16",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_list_view_clicks.xml","ListView","12",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_toast_form_inputs.xml","EditText","16",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_simple_return_result.xml","EditText","15",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_persist_settings.xml","EditText","16",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_basic_views.xml","EditText","21",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_basic_image_download.xml","ImageView","14",,"android:contentDescription:null"
"app","No Content Description","app/src/main/res/layout/activity_smart_image_download.xml","ImageView","14",,"android:contentDescription:null"
"","","","","","",""
